Domain,Age,Level of Study,Activity Level,Reputation,Accessibility,Moderation,Gender,Country,Recommended chat rooms,SAMPLE NOTTOINCLUDE,Unnamed: 11,Agriculture,Anthro,Business Analytics,CommunicationTechnology,Data Science,Early childhood,Finance,Unnamed: 19,Writing,Food science,Unnamed: 22,Unnamed: 23,Gender studies,Geology ,Health and Wellness,Hostpiatlity Management,Humanities,Information systems,International Business,International relations,Journalism,Legal  studies,Linguistics,Logistics and supply chain,Management,media and communication,Performing arts,public administration,Public health,social work,Sports science ,visual arts,Unnamed: 44,Unnamed: 45,Unnamed: 46,Domain.1
visual arts,23,High School,High,4.4,Medium,Good,Female,US,Art Criticism, Art Criticism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
information systems,19,High School,Medium,4.9,Medium,Good,Male,Australia,Cloud Computing and Virtualization, Cloud Computing and Virtualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
international business,19,High School,Medium,4.2,Medium,Good,Male,India,International Business Law and Regulations, International Business Law and Regulations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
data science,29,High School,High,4.4,Medium,Good,Male,US,Machine Learning, Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
logistics and supply chain management,29,High School,Low,4.5,Easy,Fair,Female,Australia,Reverse Logistics and Product Returns, Reverse Logistics and Product Returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
data science,29,College,Low,4.4,Medium,Fair,Female,Australia,Big Data Analytics, Big Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
early childhood education,28,College,Low,4.7,Easy,Fair,Female,Australia,Science and Discovery, Science and Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
visual arts,23,High School,Low,3.6,Medium,Good,Female,Canada,Typography, Typography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
data science,29,High School,Medium,4.1,Easy,Good,Male,Canada,Exploratory Data Analysis, Exploratory Data Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
international relations,24,College,Low,4.6,Easy,Fair,Female,UK,Diplomacy and Negotiation, Diplomacy and Negotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
public administration,28,College,Low,4.7,Medium,Fair,Male,Australia,Intergovernmental Relations, Intergovernmental Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
food science,24,College,High,4.3,Medium,Fair,Male,Australia,Food Supply Chain and Distribution, Food Supply Chain and Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
legal studies,27,College,High,4.2,Easy,Fair,Male,Canada,Legal Ethics, Legal Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
logistics and supply chain management,22,High School,High,4.1,Easy,Good,Male,UK,Transportation and Freight Management, Transportation and Freight Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
gender studies,29,College,Medium,3.6,Medium,Good,Male,Australia,Gender and Health, Gender and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
health and wellness,18,High School,Medium,3.7,Easy,Good,Female,Canada,Women's Health, Women's Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
education,22,High School,Low,4.9,Easy,Fair,Female,US,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
media and communication studies,27,High School,High,4.3,Medium,Fair,Male,Australia,Digital Media, Digital Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
public health,22,High School,Low,4.9,Easy,Good,Female,India,Occupational Health and Safety, Occupational Health and Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
education,27,High School,Low,4.0,Medium,Fair,Female,Canada,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
business analytics,23,College,Medium,4.3,Medium,Good,Male,UK,Financial Analytics, Financial Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
environmental science,18,High School,High,4.7,Easy,Good,Female,US,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
gender studies,18,High School,High,4.6,Medium,Fair,Female,India,Women's Studies, Women's Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
social work,27,College,High,4.5,Medium,Fair,Male,US,Community Engagement and Health, Community Engagement and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
gender studies,28,High School,High,4.5,Medium,Fair,Male,UK,Gender and Health, Gender and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
early childhood education,25,College,Medium,4.6,Easy,Good,Female,Canada,Self-help Skills and Independence, Self-help Skills and Independence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
social work,22,College,High,4.7,Medium,Good,Female,US,Social Support Interventions, Social Support Interventions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
environmental science,29,High School,High,4.6,Easy,Fair,Male,Canada,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
management,27,High School,Low,3.8,Easy,Fair,Female,Canada,Knowledge Management, Knowledge Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
linguistics,19,High School,Low,3.7,Medium,Good,Male,Canada,Computational Linguistics, Computational Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
international relations,25,College,High,4.6,Medium,Good,Female,Australia,Diplomacy and Negotiation, Diplomacy and Negotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
food science,22,High School,Low,4.1,Medium,Fair,Female,US,Food Fermentation, Food Fermentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
social work,19,High School,High,4.8,Medium,Fair,Female,India,Social Integration and Health, Social Integration and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
logistics and supply chain management,22,College,Medium,4.7,Easy,Fair,Male,US,Demand Forecasting and Planning, Demand Forecasting and Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
data science,25,College,Medium,3.7,Medium,Good,Male,Australia,Data Visualization, Data Visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
education,24,College,High,4.5,Medium,Fair,Female,US,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
hospitality management,23,High School,Medium,4.4,Easy,Fair,Male,India,Human Resource Management in Hospitality, Human Resource Management in Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
agriculture,31,High School,High,3.8,Easy,Fair,Female,US,Agricultural Engineering, Agricultural Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
writing,19,High School,Low,3.9,Easy,Good,Female,Australia,Writing for Young Adults, Writing for Young Adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
public administration,26,College,Low,4.7,Easy,Fair,Female,Canada,Crisis Management and Emergency Response, Crisis Management and Emergency Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
humanities,28,High School,Medium,3.6,Medium,Fair,Male,US,Literature Studies, Literature Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
humanities,25,College,High,4.1,Easy,Fair,Male,India,Ethical Studies, Ethical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
legal studies,29,College,High,4.6,Medium,Good,Male,Australia,Alternative Dispute Resolution, Alternative Dispute Resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
humanities,29,College,High,4.4,Medium,Good,Male,India,Gender and Sexuality Studies, Gender and Sexuality Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
food science,24,High School,Medium,4.4,Easy,Fair,Male,Canada,Food Packaging and Shelf Life, Food Packaging and Shelf Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
performing arts,21,High School,High,4.9,Medium,Good,Female,US,Communication Theory, Communication Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
geology,29,High School,High,3.9,Easy,Good,Male,Australia,Geochemistry, Geochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
writing,26,High School,Medium,4.2,Medium,Good,Female,Canada,Research and Citation Skills, Research and Citation Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
finance,27,High School,High,4.8,Easy,Good,Male,US,Financial Modeling and Valuation, Financial Modeling and Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
legal studies,28,College,Low,4.8,Easy,Fair,Male,Canada,Employment Law, Employment Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
gender studies,26,High School,Low,3.7,Medium,Good,Female,UK,Gender and Cultural Representation, Gender and Cultural Representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
hospitality management,18,College,Medium,4.1,Medium,Fair,Male,UK,Hospitality Marketing and Sales, Hospitality Marketing and Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
agriculture,19,College,High,4.0,Medium,Good,Male,Canada,Horticulture, Horticulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
management,29,High School,High,5.0,Easy,Fair,Female,Australia,Human Resource Management, Human Resource Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
linguistics,29,College,Medium,4.0,Medium,Fair,Female,UK,Sociolinguistic Variation, Sociolinguistic Variation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
communications technology,21,High School,Medium,4.1,Easy,Fair,Female,UK,Network Protocols, Network Protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
management,25,High School,High,3.8,Medium,Fair,Female,US,Conflict Resolution and Negotiation, Conflict Resolution and Negotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
public administration,29,College,Low,4.8,Medium,Fair,Male,Australia,Public Service Delivery and Citizen Engagement, Public Service Delivery and Citizen Engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
hospitality management,23,College,High,4.3,Medium,Fair,Female,UK,Food and Beverage Management, Food and Beverage Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
education,23,High School,Low,4.5,Easy,Fair,Female,India,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
international relations,28,High School,Low,3.8,Easy,Fair,Female,India,Environmental Politics and Sustainability, Environmental Politics and Sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
writing,18,High School,Medium,4.2,Medium,Fair,Female,Canada,Creative Writing, Creative Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
humanities,18,High School,Medium,4.8,Medium,Good,Male,Canada,Ethical Studies, Ethical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
geology,26,College,Medium,3.8,Easy,Fair,Female,Canada,Geophysics, Geophysics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
public administration,18,College,Low,3.7,Medium,Fair,Male,US,Comparative Public Administration, Comparative Public Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
gender studies,18,High School,High,4.2,Easy,Fair,Male,UK,Gender and Violence, Gender and Violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
anthropology,27,High School,High,3.5,Medium,Fair,Female,Canada,Anthropological Theory, Anthropological Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
linguistics,21,High School,Low,4.3,Medium,Fair,Male,US,Contrastive Linguistics, Contrastive Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
journalism,29,College,Low,4.1,Medium,Good,Male,Australia,Photojournalism, Photojournalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
visual arts,26,College,Medium,4.5,Medium,Good,Female,Australia,Fiber Arts, Fiber Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
food science,24,High School,High,4.1,Easy,Fair,Female,India,Food Safety and Quality Assurance, Food Safety and Quality Assurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
social work,27,College,High,3.9,Medium,Good,Female,UK,Social Media and Health Communication, Social Media and Health Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
journalism,25,College,Medium,4.5,Medium,Good,Female,Australia,Ethics in Journalism, Ethics in Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
logistics and supply chain management,19,College,Low,4.0,Easy,Fair,Female,India,Ethical and Social Responsibility in Supply Chain, Ethical and Social Responsibility in Supply Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
agriculture,26,College,High,4.6,Medium,Good,Female,US,Food Science and Technology, Food Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
linguistics,19,High School,Low,4.7,Easy,Fair,Male,UK,Cognitive Linguistics, Cognitive Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
sports science,23,High School,Low,4.0,Easy,Fair,Female,Canada,Sports Performance Testing and Assessment, Sports Performance Testing and Assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
finance,22,College,Medium,4.6,Medium,Fair,Female,UK,Islamic Finance, Islamic Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
logistics and supply chain management,29,High School,Medium,4.4,Medium,Good,Female,Australia,Transportation and Freight Management, Transportation and Freight Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
environmental science,25,College,High,3.9,Medium,Good,Female,Australia,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
management,22,High School,High,3.5,Medium,Fair,Male,India,Supply Chain Management, Supply Chain Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
management,27,High School,Low,4.6,Easy,Good,Male,Canada,Project Management, Project Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
humanities,25,High School,High,4.8,Medium,Good,Male,US,Critical Theory, Critical Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
public health,24,College,High,3.5,Medium,Fair,Male,US,Health Policy and Management, Health Policy and Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
finance,28,College,Low,3.7,Medium,Fair,Male,India,Behavioral Finance, Behavioral Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
hospitality management,19,High School,Low,4.7,Medium,Good,Female,UK,Hospitality Operations Management, Hospitality Operations Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
food science,29,College,High,3.7,Easy,Good,Female,Australia,Food Microbiology, Food Microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
anthropology,18,College,Low,4.9,Medium,Fair,Male,UK,Environmental Anthropology, Environmental Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
logistics and supply chain management,27,College,Medium,4.2,Easy,Good,Male,US,E-Commerce and Omni-channel Logistics, E-Commerce and Omni-channel Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
communications technology,21,College,Low,4.6,Easy,Good,Female,Canada,Network Protocols, Network Protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
journalism,23,High School,Medium,4.8,Easy,Good,Male,UK,International Journalism, International Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
management,23,High School,Low,4.1,Easy,Fair,Male,US,Strategic Management, Strategic Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
communications technology,29,College,High,3.8,Easy,Good,Female,India,Human-Computer Interaction, Human-Computer Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
social work,26,High School,Medium,4.5,Easy,Good,Male,US,Social Integration and Health, Social Integration and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
data science,27,High School,High,4.0,Medium,Good,Female,Canada,Model Evaluation and Validation, Model Evaluation and Validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
anthropology,19,College,Low,4.2,Medium,Good,Female,Canada,Anthropological Theory, Anthropological Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
health and wellness,22,College,Medium,4.6,Easy,Fair,Female,UK,Health Coaching, Health Coaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
writing,25,College,High,4.4,Easy,Good,Female,UK,Writing for Social Media, Writing for Social Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
humanities,27,High School,High,3.5,Medium,Good,Male,India,Linguistics, Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
finance,22,High School,Low,3.7,Easy,Good,Female,Canada,Personal Finance and Financial Literacy, Personal Finance and Financial Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
agriculture,24,College,Low,4.2,Medium,Good,Male,Australia,Agricultural Marketing and Supply Chain Management, Agricultural Marketing and Supply Chain Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
public administration,21,High School,Medium,3.8,Medium,Fair,Male,UK,Public Administration and Law, Public Administration and Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
data science,21,High School,Low,4.8,Easy,Fair,Female,UK,Statistical Analysis, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
management,22,High School,Medium,4.1,Medium,Fair,Female,Australia,Cross-Cultural Management, Cross-Cultural Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
public administration,28,High School,High,4.5,Medium,Good,Male,India,Public Program Evaluation and Performance Management, Public Program Evaluation and Performance Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
business analytics,19,College,Medium,4.8,Easy,Fair,Female,UK,Fraud Detection and Prevention, Fraud Detection and Prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
business analytics,22,High School,High,4.6,Medium,Fair,Female,India,Data Visualization, Data Visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
agriculture,26,High School,Medium,4.2,Medium,Good,Male,US,Agricultural Sustainability and Conservation, Agricultural Sustainability and Conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
linguistics,21,College,High,4.8,Medium,Fair,Female,UK,Language Acquisition, Language Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
performing arts,19,College,High,4.5,Medium,Fair,Female,UK,Media Research Methods, Media Research Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
media and communication studies,23,College,Low,4.9,Medium,Fair,Male,India,Advertising and Public Relations, Advertising and Public Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
international relations,21,High School,Low,4.2,Medium,Good,Female,US,Foreign Policy Analysis, Foreign Policy Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
agriculture,25,High School,Low,4.7,Easy,Good,Female,Australia,Dairy Science, Dairy Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
public health,19,High School,High,4.0,Medium,Good,Male,Australia,Health Promotion and Disease Prevention, Health Promotion and Disease Prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
public health,28,College,Low,4.3,Medium,Fair,Female,US,Emergency Preparedness and Response, Emergency Preparedness and Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
education,19,College,Medium,3.8,Medium,Good,Female,India,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
visual arts,19,College,Low,4.4,Medium,Good,Male,UK,Installation Art, Installation Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
hospitality management,25,College,High,4.9,Medium,Fair,Male,Australia,Hospitality Operations Management, Hospitality Operations Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
gender studies,19,College,High,3.5,Easy,Fair,Male,Canada,Gender and Sexuality, Gender and Sexuality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
performing arts,19,High School,High,3.8,Medium,Good,Male,US,Journalism, Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
gender studies,21,High School,Medium,4.2,Easy,Good,Female,Australia,Gender and Technology, Gender and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
education,24,College,Medium,4.3,Easy,Good,Male,US,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
environmental science,25,High School,Medium,5.0,Easy,Good,Male,India,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
early childhood education,23,High School,High,4.5,Medium,Fair,Male,US,Communication and Language Skills, Communication and Language Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
agriculture,27,High School,Medium,4.3,Easy,Good,Female,India,Dairy Science, Dairy Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
legal studies,29,College,Medium,4.0,Easy,Fair,Female,UK,Property Law, Property Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
environmental science,26,High School,Low,4.8,Medium,Fair,Male,US,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
business analytics,21,High School,Medium,4.7,Easy,Good,Male,US,Decision Support Systems, Decision Support Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
international relations,24,College,Medium,4.6,Easy,Fair,Female,UK,International Relations Theory, International Relations Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
anthropology,19,College,Medium,4.0,Easy,Fair,Male,Australia,Ethnography, Ethnography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
social work,18,College,Medium,4.9,Medium,Good,Female,US,Social Policy and Health Outcomes, Social Policy and Health Outcomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
international relations,29,College,Low,4.8,Medium,Fair,Female,US,International Political Economy, International Political Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
information systems,28,College,Medium,4.2,Medium,Fair,Male,US,Business Process Management, Business Process Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
data science,27,College,Low,4.5,Medium,Good,Female,US,Machine Learning, Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
communications technology,25,College,Medium,4.0,Easy,Fair,Female,Canada,Social Media and Communication, Social Media and Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
public health,24,College,High,4.8,Medium,Fair,Female,UK,Public Health Surveillance, Public Health Surveillance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
public administration,25,College,High,4.5,Easy,Good,Male,India,Environmental Policy and Administration, Environmental Policy and Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
communications technology,26,College,Medium,4.4,Easy,Good,Male,India,Mobile Communication, Mobile Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
hospitality management,24,High School,High,4.8,Medium,Good,Female,UK,Restaurant Management, Restaurant Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
geology,22,High School,Low,4.8,Easy,Fair,Female,US,Stratigraphy, Stratigraphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
data science,24,College,Medium,4.9,Easy,Fair,Female,Canada,Anomaly Detection, Anomaly Detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
hospitality management,18,College,Medium,4.5,Medium,Good,Female,Australia,Hotel Management, Hotel Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
public health,27,High School,High,4.2,Medium,Fair,Female,Canada,Infectious Disease Control, Infectious Disease Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
media and communication studies,24,College,Medium,3.9,Easy,Fair,Male,Australia,Media and Society, Media and Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
gender studies,24,College,High,3.9,Easy,Good,Male,India,Gender and Development, Gender and Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
health and wellness,25,High School,Low,3.9,Easy,Good,Female,Canada,Physical Fitness and Exercise Science, Physical Fitness and Exercise Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
performing arts,18,College,Low,3.9,Medium,Fair,Male,Australia,Social Media, Social Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
visual arts,19,High School,High,4.5,Medium,Fair,Female,US,Art History, Art History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
data science,19,High School,Medium,5.0,Medium,Fair,Female,India,Ethical Considerations in Data Science, Ethical Considerations in Data Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
management,29,High School,High,4.4,Medium,Fair,Female,Canada,Corporate Social Responsibility, Corporate Social Responsibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
anthropology,24,High School,High,4.2,Easy,Fair,Female,US,Psychological Anthropology, Psychological Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
